"filename", "language", "CSS", "C++", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\BinaryToBool.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\BinaryToFloat.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\BinaryToInt.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\BoolToBinary.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\FloatToBinary.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Binary\IntToBinary.cpp", "C++", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\ClientTests\Exit\ExitTheProgram.cpp", "C++", 0, 17, 0, 0, 0, 5, 6, 28
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Args.cpp", "C++", 0, 45, 0, 0, 0, 8, 12, 65
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Args.h", "C++", 0, 17, 0, 0, 0, 5, 5, 27
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Binary.cpp", "C++", 0, 43, 0, 0, 0, 10, 11, 64
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Binary.h", "C++", 0, 21, 0, 0, 0, 5, 6, 32
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\ChronosEngine.h", "C++", 0, 7, 0, 0, 0, 3, 1, 11
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Constants.h", "C++", 0, 91, 0, 0, 0, 4, 15, 110
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Exit.cpp", "C++", 0, 14, 0, 0, 0, 5, 6, 25
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Exit.h", "C++", 0, 11, 0, 0, 0, 5, 6, 22
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Game.cpp", "C++", 0, 78, 0, 0, 0, 9, 21, 108
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Game.h", "C++", 0, 42, 0, 0, 0, 5, 12, 59
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Keyboard.cpp", "C++", 0, 61, 0, 0, 0, 7, 14, 82
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\Keyboard.h", "C++", 0, 27, 0, 0, 0, 11, 10, 48
"c:\Users\trent\Documents\GitHub\Chronos-Engine-v2\ClientDirectory\Client\LimitedFunctions.cpp", "C++", 0, 17, 0, 0, 0, 5, 6, 28
